threshold,album,artist,song,attention_window
0.75,The Dark Side of the Moon,Pink Floyd,Brain Damage,3
0.75,The Dark Side of the Moon,Pink Floyd,Brain Damage,2
0.75,The Dark Side of the Moon,Pink Floyd,Brain Damage,16
0.75,The Dark Side of the Moon,Pink Floyd,Brain Damage,3
0.75,The Dark Side of the Moon,Pink Floyd,Brain Damage,2
0.75,The Dark Side of the Moon,Pink Floyd,Brain Damage,13
0.75,The Dark Side of the Moon,Pink Floyd,Brain Damage,12
0.75,The Dark Side of the Moon,Pink Floyd,Brain Damage,2
0.75,The Dark Side of the Moon,Pink Floyd,Brain Damage,10
0.75,The Dark Side of the Moon,Pink Floyd,Brain Damage,4
0.75,The Dark Side of the Moon,Pink Floyd,Brain Damage,6
0.75,The Dark Side of the Moon,Pink Floyd,Brain Damage,3
0.75,The Dark Side of the Moon,Pink Floyd,Brain Damage,4
0.75,The Dark Side of the Moon,Pink Floyd,Brain Damage,1
0.75,The Dark Side of the Moon,Pink Floyd,Brain Damage,4
0.75,The Dark Side of the Moon,Pink Floyd,Brain Damage,3
0.75,The Dark Side of the Moon,Pink Floyd,Brain Damage,2
0.75,The Dark Side of the Moon,Pink Floyd,Brain Damage,1
0.75,The Dark Side of the Moon,Pink Floyd,Brain Damage,0
0.75,The Dark Side of the Moon,Pink Floyd,Breathe (In the Air),15
0.75,The Dark Side of the Moon,Pink Floyd,Breathe (In the Air),14
0.75,The Dark Side of the Moon,Pink Floyd,Breathe (In the Air),11
0.75,The Dark Side of the Moon,Pink Floyd,Breathe (In the Air),12
0.75,The Dark Side of the Moon,Pink Floyd,Breathe (In the Air),11
0.75,The Dark Side of the Moon,Pink Floyd,Breathe (In the Air),5
0.75,The Dark Side of the Moon,Pink Floyd,Breathe (In the Air),4
0.75,The Dark Side of the Moon,Pink Floyd,Breathe (In the Air),3
0.75,The Dark Side of the Moon,Pink Floyd,Breathe (In the Air),7
0.75,The Dark Side of the Moon,Pink Floyd,Breathe (In the Air),6
0.75,The Dark Side of the Moon,Pink Floyd,Breathe (In the Air),5
0.75,The Dark Side of the Moon,Pink Floyd,Breathe (In the Air),4
0.75,The Dark Side of the Moon,Pink Floyd,Breathe (In the Air),3
0.75,The Dark Side of the Moon,Pink Floyd,Breathe (In the Air),2
0.75,The Dark Side of the Moon,Pink Floyd,Breathe (In the Air),1
0.75,The Dark Side of the Moon,Pink Floyd,Breathe (In the Air),0
0.75,The Dark Side of the Moon,Pink Floyd,Eclipse,43
0.75,The Dark Side of the Moon,Pink Floyd,Eclipse,42
0.75,The Dark Side of the Moon,Pink Floyd,Eclipse,12
0.75,The Dark Side of the Moon,Pink Floyd,Eclipse,11
0.75,The Dark Side of the Moon,Pink Floyd,Eclipse,39
0.75,The Dark Side of the Moon,Pink Floyd,Eclipse,9
0.75,The Dark Side of the Moon,Pink Floyd,Eclipse,36
0.75,The Dark Side of the Moon,Pink Floyd,Eclipse,33
0.75,The Dark Side of the Moon,Pink Floyd,Eclipse,3
0.75,The Dark Side of the Moon,Pink Floyd,Eclipse,31
0.75,The Dark Side of the Moon,Pink Floyd,Eclipse,33
0.75,The Dark Side of the Moon,Pink Floyd,Eclipse,20
0.75,The Dark Side of the Moon,Pink Floyd,Eclipse,2
0.75,The Dark Side of the Moon,Pink Floyd,Eclipse,30
0.75,The Dark Side of the Moon,Pink Floyd,Eclipse,26
0.75,The Dark Side of the Moon,Pink Floyd,Eclipse,0
0.75,The Dark Side of the Moon,Pink Floyd,Eclipse,2
0.75,The Dark Side of the Moon,Pink Floyd,Eclipse,26
0.75,The Dark Side of the Moon,Pink Floyd,Eclipse,22
0.75,The Dark Side of the Moon,Pink Floyd,Eclipse,0
0.75,The Dark Side of the Moon,Pink Floyd,Eclipse,10
0.75,The Dark Side of the Moon,Pink Floyd,Eclipse,22
0.75,The Dark Side of the Moon,Pink Floyd,Eclipse,21
0.75,The Dark Side of the Moon,Pink Floyd,Eclipse,20
0.75,The Dark Side of the Moon,Pink Floyd,Eclipse,6
0.75,The Dark Side of the Moon,Pink Floyd,Eclipse,18
0.75,The Dark Side of the Moon,Pink Floyd,Eclipse,14
0.75,The Dark Side of the Moon,Pink Floyd,Eclipse,4
0.75,The Dark Side of the Moon,Pink Floyd,Eclipse,12
0.75,The Dark Side of the Moon,Pink Floyd,Eclipse,14
0.75,The Dark Side of the Moon,Pink Floyd,Eclipse,13
0.75,The Dark Side of the Moon,Pink Floyd,Eclipse,0
0.75,The Dark Side of the Moon,Pink Floyd,Eclipse,11
